漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
公	共攻工宮紅蚣恭肱躬功弓供釭龔	礦鞏共汞貢供廾拱	倥髡琨焜崆坤錕昆空硿崑	輥鯀倥滾梱空袞孔捆睏恐綑棍困控	六兮
冗	茸	容榮融鎔絨蓉茸溶熔榕戎嶸		閏潤	
凶	兇兄洶匈胸	熊雄	燻鈞龜軍勛君薰均醺勳	汛潯巡炯窘雋徇郡峻濬迥潠浚馴詢璿駿巽蕈殉循俊迅訓遜訊尋荀洵旬竣菌	
分	棻氛吩紛忿憤份芬糞奮	棻氛吩汾份芬墳糞焚奮紛忿憤粉	瘋峰諷豐豐鳳行沆楓鋒烽芳坊風亨俸哼橫放恨奉方縫蜂枋封	瘋吭峰妨恆倣航豐諷舫逢仿很豐鳳馮紡行沆楓鋒杭桁烽訪芳坊風亨俸房哼橫放痕恨肪奉狠方縫蜂防枋彷封衡	切刈
切	契妾竊挈愜怯鍥	契妾竊伽挈愜茄怯鍥且	階芥皆解街嗟戒揭疥偕界藉誡結借接介屆	捷階芥拮皆桔街截詰節傑揭桀疥藉誡孑頡接碣姊劫櫛解嗟羯訐竭戒睫偕界擷結潔借姐傑介屆	分刈
刈	屹藝肄軼誼囈縊逸佾溢劓疫懿鎰毅義邑億液佚役易羿弋裔蜴驛弈帟譯翌異益臆腋亦艾曳詣議意繹憶掖浥翳奕一抑翼衣	漪尾咦姨椅壹蟻飴旖誼偯迤栘移以彝夷已遺沂宜咿醫頤伊噫疑乙怡貽揖訑迆蛇矣圯胰儀一衣痍倚依			切分
勻	紜耘雲筠雲昀芸	韻允員孕熨運隕暈醞慍蘊氳	文亡聞傭王雯紋玟蚊	傭雍蓊湧刎傭嗡文惘甬蛹網瘟用溫忘望鄘永慵紊甕妄邕問俑枉穩恿往擁踴翁魍勇王聞臃吻罔詠湧尢塭泳旺庸抆汶汪輞壅免	勿勾
勾	句枸鉤溝	購構雊垢遘媾夠詬搆狗枸苟	篙睪羔糕高皋膏	告縞扣槁寇銬考烤杲稿靠搞誥佝釦攪叩犒拷口	勿勻
勿	戊晤惡寤騖物悟塢霧兀誤務軏鎢堊	武汙鵡巫侮吾亡誣無吳午五烏毋伍惡嗚鼯嫵於唔憮屋舞圬鎢捂污梧蕪蜈	裕瘉澦禦域籲嫗馭喻獄玉欲譽禺熨峪昱燠癒寓愈諭御谷郁預語遇與煜慾芋育聿尉俞堉鬱豫浴毓	妤娛瘀宇逾褕竽蝓雨雩渝覦迂漁於語紆與噢齬餘余俞歟羽虞盂隅榆敔愚魚圉禺禹嶼輿愉圄淤腴臾諛庾圩瑜予萸於	勾勻
化	畫話樺劃華	嘩劃豁滑花譁樺劃猾華			
匹	劈披仳否丕霹痞壞鈹被紕批疋	劈披陂譬疲仳否沘壞僻癖琵批啤闢鼙脾媲丕霹皮痞埤辟枇陴鈹被屁紕罷毗疋裨			
午	武憮舞鵡五捂伍嫵侮	汙晤騖巫吾塢悟亡誤誣務無吳烏毋寤戊惡嗚鼯於唔物勿霧屋兀圬鎢軏污梧蕪蜈堊	雨語與齬宇庾敔噢圉禹予嶼羽圄	瘉澦域妤娛瘀馭獄逾峪昱燠褕蝓竽雩渝覦預漁迂語於與紆煜慾芋育餘余俞歟堉鬱豫毓虞裕盂禦隅籲嫗榆喻愚魚玉欲譽禺熨輿癒寓愈愉諭御谷郁淤腴臾遇諛圩聿尉瑜予萸浴於	升卅
升	勝生牲笙甥聲昇陞	勝澠繩乘賸省聖盛剩	砷信申僧莘伸呻娠深身森參紳	哂審甚滲瀋腎蜃沁嬸脤神慎沈	卅午
卅	薩颯	灑撒	霎廈煞	殺傻砂杉鯊莎裟紗煞沙	升午
卞	遍釆辯辮辨弁變汴便	褊鞭扁砭邊蝙編貶匾			
厄	愕詻鱷遏俄軛啞噩惡呃鍔顎扼鄂餓堊萼	額俄蛾哦婀訛娥阿峨鵝蚵			
友	牖有黝莠酉	游由郵疣莠又尤優憂幼幽猶猷攸遊鼬誘宥油悠右柚祐鈾有侑囿佑魷釉	窈夭咬舀杳	要喲淆耀夭崤謠瑤僥鑰堯搖洮邀吆鷂榣腰樂餚姚麼遙餚窯藥拗妖曜爻	反及
及	棘戢疾擊輯寂集脊嫉藉唧急伋吉圾即楫瘠汲吃亟級極籍岌	洎璣羈暨忌肌祭脊己騎芰雞磯乩劑積幾記績期屐機嵇跡覬紀蹟基計妓居冀畸姬畿其寄給犄薊飢癘際幾唧箕麂繼擠薺奇譏激季稷髻霽技勣稽既悸躋繫嘰濟鯽戟驥饑	歧其淇旗琪齊蓆琦耆麒棋騎惜習祺臍畦鰭祁崎圻奇岐祇衹期媳祈枝息錫席熄錡襲褶檄昔	攜烯嬉膝妻璽洗溪豈綺細磧棄析乞係啟器棲訖漆慼迄蟋羲起夕蹊歙氣曦淅熹悉愒禧系犀萋汐翕行蜥淒戲稀隙希吸欺徙畦晰兮鰓杞熙汽柒釐矽企喜譆谿稽犧亟唏嘻悽晞潟泣西契繫憩奚戚砌七緝僖	反友
反	返	氾繙犯範泛梵礬番販藩汎蕃樊墦凡飯煩翻范釩繁幡帆	罕喊	憾悍旱頜含函韓漢和榦汗頷涵銲翰撼蚶捍鼾瀚寒酣焊	及友
壬	仁人兒任	刃衽妊紉稔仞忍軔任荏韌認飪賃	瓤攘仍禳	扔嚷讓攘壤	
天	添	甜畋靦填腆舔忝恬田闐	滇巔顛癲	奠甸店點碘典靛玷佃惦電鈿澱殿墊	夭夫太
夫	氟縛匐膚鈇蝠紼扶幅芾孚弗輻紱福袱浮伏符菔敷拂涪怫孵趺彿服麩芙伕俘	氟縛匐馥覆附膚鈇俯複頫蝠紼扶甫芾幅紱袱賻傅付拂涪撫斧赴莆彿服脯賦芙俘訃富府腑腐阜孚弗輻福浮腹伏符菔副復釜敷怫孵婦趺輔咐父麩負伕駙	壺鬍鵠蝴胡湖葫囫弧斛惚瑚乎戲呼糊忽狐	瓠壺鬍蝴鵠琥許斛惚唬戲呼戶滬沍楛護狐互胡湖囫葫扈虎弧瑚乎忽糊	夭天太
太	泰汰態	薹颱苔抬檯跆胎台臺	迨黛大貸怠逮岱待玳帶殆代戴袋	逮待歹呆	夭天夫
夭	邀窈要麼喲妖咬吆舀杳腰	要喲淆耀崤咬杳謠瑤僥窈鑰堯搖邀洮吆鷂舀榣腰樂餚姚麼遙餚窯藥妖拗曜爻	牖有幽黝莠友酉攸悠優憂	游黝由牖郵友疣莠又尤優憂幼幽猶猷攸遊鼬誘悠宥油右柚祐鈾有侑酉囿佑魷釉	天夫太
孔	倥恐	倥崆控空硿	共輥礦鯀汞廾滾梱袞鞏捆綑拱	共工琨錕蚣睏躬功棍弓釭龔公攻宮紅焜昆恭肱髡困坤供貢崑	
少	召邵紹哨	召勺邵紹芍捎哨燒稍杓韶梢	叟守狩壽受綬嗽手獸瘦嗾授售首藪掃擻嫂	叟守壽受綬嗽嗾颼搜售餿蒐繅搔嫂熟狩收騷手獸瘦授艘首藪掃擻	
尤	鈾游郵猶猷疣遊油魷由	幼幽黝攸鼬誘悠宥右柚牖祐有侑莠友又酉囿佑優憂釉	洮淆崤謠榣瑤僥餚姚遙餚窯堯搖爻	邀要喲耀夭咬吆鷂杳舀腰樂窈麼鑰藥妖拗曜	
尺	齒褫恥呎侈	翅熾啻蚩癡匙敕栘弛馳嗤飭魑遲笞喫赤踟叱癡吃持斥池墀	此	辭賜疵次祠雌詞差伺茨廁瓷刺慈磁	
屯	囤諄臀肫飩豚	褪吞準准	銅桐盅僮裝鬃樽棕潼蹤中遵宗瞳同峒忠鍾衷縱彤終忪妝樁尊鐘童綜莊	鈍蹲傯仲棟粽惇慟狀冬洞筒墩撞沌懂塚撙囤眾總董桶縱頓恫俊燉通噸綜踵東鼕壯湩中動統從痛塚圳遁胴躉凍腫奘盾重敦盹咚種	
巴	叭疤扒笆捌吧芭八	把跋靶伯吧杷霸耙壩鈸爸罷拔琶灞			
幻	渙奐豢煥換瘓梡喚患宦	桓還環皖澴洹歡鍰緩梡寰			
廿	念唸	輦碾黏拈攆年輾撚捻涊	鍊戀殮瀲斂練煉鏈楝	簾蓮聯簾鰱濂連奩漣憐鐮廉臉	
弔	掉釣吊調	刁凋叼彫碉鯛貂雕	頫眺覜跳	挑條佻丟調迢蜩窕	引
引	癮聽飲縯尹隱蚓	夤胤銀鄞印飲因齦茵淫簷音寅垠湮姻陰吟慇氤蔭殷隱霪	養景郢仰穎鞅氧影癢	纓佯瘍洋櫻映颺楊羊央秧應縈鷹漾恙硬蠅煬烊養迎揚營膺嬰嬴昜楹暘陽瑩鍚罌鴦鶯怏徉贏鸚盈英樣鞅螢泱殃熒瑛嚶瓔塋瀛	弔
心	欣薪鋅辛新馨芯訢莘昕	信尋釁芯	涇粳馨精筋漿鑲廂韁巾莖興津惺鄉疆斤星經香今驚江睛矜襄薑更襟觔兢晶旌僵京金湘鯨禁荊菁浸瓖姜腥猩將箱相	邢竟頸靖彊祥燼降靜刑縉謹橡巷省陘進獎醬醒餉興響幸競噤儘形匠覲倖鄉講象璟槳錦近想項硎逕境景詳勁警行翔徑瑾享型絳性盡井饉晉像痙緊淨嚮僅禁鏡庠蔣憬浸杏敬阱悻姓饗將相向強	
戈	擱割胳哥歌疙鴿	郃各咯格骼個鎘蛤箇鉻革隔閣膈閤鬲葛	軻稞棵磕柯科窠刻苛蚵顆瞌蝌	嗑課客恪溘坷渴剋髁可咳喀殼緙克刻	
戶	瓠互滬楛沍護扈	壺鬍鵠蝴胡琥湖葫囫弧虎許斛瑚惚唬乎戲呼糊忽狐	富腹馥覆賻附副傅復付複赴婦咐父阜賦負駙訃	氟縛匐膚鈇俯府腑夫腐頫蝠紼扶甫幅芾孚弗輻紱福袱浮伏符菔釜敷拂涪撫怫斧孵莆趺輔彿服父麩脯芙伕俘	
手	守首	授熟售狩壽受收綬獸瘦	叟藪掃擻少嫂嗾	芍騷哨燒嗽少杓颼韶召艘搜勺邵餿紹蒐繅捎掃搔稍梢	扎
扎	紮查閘炸喳札渣	紮閘柵喳搾砟詐咋乍查眨搾炸札渣吒蚱	紮雜咱偺砸匝	紮雜咱偺砸匝	手
支	肢祇織梔枝泜蜘氏知隻只祗之脂芝胝卮汁吱	雉秩幟止蛭志芷值址執祇祉峙治制紙質誌姪稚窒植咫痣智緻滯致置痔摭至摯製輊躑躓直擲知識徵只炙趾指職旨殖	淄錙緇貲咨茲姿孳孜資輜滋諮齜玆髭吱	仔訾字恣紫滓籽漬子孳梓自	
文	聞問雯紋玟紊蚊抆免汶	雯紋玟蚊紊抆刎汶聞問吻瘟溫穩免塭	傭員傭耘亡孕王熨用慍芸忘雲韻望運筠旺甕昀妄暈醞蘊紜勻雲	員傭雍蓊湧傭耘嗡惘甬蛹網用慍芸忘韻望鄘永慵筠甕昀妄暈醞氳紜邕俑枉雲恿往擁踴翁魍勇亡王孕臃熨罔隕詠湧尢雲泳運旺庸蘊允汪勻輞壅	
斗	陡枓蚪抖	豆讀鬥竇痘脰都兜逗	討導島倒搗禱	刀濤萄燾韜桃偷頭檮淘盜洮滔透逃稻啕悼到絛導叨陶套掏倒蹈饕投道	
斤	襟觔浸金矜津禁筋今巾	盡饉燼晉緊噤勁僅禁儘覲縉浸謹瑾進錦近	鎗青涇槍心粳馨芯精羌傾鑲漿廂韁訢莖興新親莘疆惺鄉星嗆經氫香頃搶昕清欣驚江鋅睛襄鏘薑腔蜻更兢鯖侵晶旌欽僵京湘鯨卿荊菁輕薪嶔瓖辛姜腥箱將猩相	邢竟牆頸靖信彊祥芯降秦靜情傾刑磬橡噙巷沁省陘琴獎醬芹醒餉興慶響幸競親形匠倖鄉講嗆撳象璟槳頃搶想項硎逕境景詳罄擎勁警薔擒行翔禽徑繈享檠型晴絳檣性井像痙勤淨嚮寢鏡庠蔣憬杏敬戕尋釁阱悻姓饗請將相向強	
方	芳坊枋	放訪倣防妨舫坊肪仿彷紡房	棻氛吩紛分芬	吭痕航分汾恨很份墳狠糞焚奮行沆杭桁忿憤粉	
日					
曰	約	粵越岳耀閱悅躍月樂鑰刖軏藥嶽曜籥說玥			
月	粵越岳耀閱悅躍樂鑰刖軏嶽藥曜籥說玥	曰約			
木	穆募牧慕沐幕睦目苜墓暮	母模牡畝拇姆姥			
欠	塹縴歉倩	乾簽前遣黔愆鉛千箝遷韆鈐籤譴鉗阡嵌仟縴騫虔潛謙淺牽搴錢	件檻劍健僭見艦漸毽諫濺踐監箭間閒薦腱建鍵餞鑑鑒澗賤薦	箋縑兼姦韉漸殲奸囝艱柬檢簡濺減筧監間肩尖湔剪鹼瞼繭堅菅緘撿揀儉煎	
止	芷徵紙趾祇只指祉旨咫址	雉秩幟蛭志氏脂值肢執祇峙枝治支制質祗之芝誌姪稚窒植織梔泜痣智緻胝滯汁吱致置痔摭至摯製輊躑躓蜘直擲識知隻炙只職卮殖	仔訾紫滓籽子梓	恣淄漬錙緇貲咨茲字子姿孳資孜輜滋諮齜玆髭自吱	
歹	逮	迨黛大貸怠逮岱待玳帶呆殆代戴袋		泰薹颱抬汰跆胎台臺太苔檯態	
毋	吾亡誣無鼯梧唔巫吳蕪蜈	武汙鵡晤騖巫侮悟塢誤誣務午五烏伍寤戊惡嗚嫵於物勿憮霧屋舞兀圬鎢捂軏污堊	盂妤隅娛榆愚魚逾禺輿愉褕蝓竽雩渝覦腴漁臾於諛圩餘余瑜俞予歟萸於虞	瘉澦域瘀宇馭獄峪昱燠雨預迂語紆與煜齬慾噢芋育俞堉鬱豫羽毓裕禦籲嫗敔喻玉欲圉譽禺禹熨嶼癒寓愈諭圄御谷郁淤遇庾聿尉予浴	
比	弊璧必筆敝鉍薜嗶匕痺箄沘妣襞避臂斃庇畢俾愎碧陛賁泌鄙蹕篦蔽詖埤彼辟閉弼祕婢壁睥幣裨	弊筆璧必敝鉍薜匕嗶痺箄沘妣襞避臂斃逼庇畢愎俾陛碧賁泌鄙蹕篦蔽詖彼埤辟閉弼婢祕壁睥幣鼻裨			
毛	髦錨茅矛	懋泖貌貿帽茆瑁卯貓茂耄冒	眸繆牟謀	某	
氏	拭恃軾是使視脂豉仕肢噬祇誓筮室枝嗜支逝祗之芝舐式適柿飾織梔奭泜士螫弒胝市汁示試吱勢侍世蜘識知隻只事卮釋	豕雉秩幟止蛭匙溼獅志芷拾虱使失蝨值噓址執蝕祇祉峙施提治屍制什紙質屎誌姪屍稚窒植咫痣詩碩十智緻滯致始置塒石痔摭至摯實食製時輊躑史躓師濕直擲知識矢徵只炙趾指職射旨駛殖	賜淄泗肆錙飼咨茲巳嗣伺耜似姿資孜諮玆齜四吱祀緇兕貲食孳寺駟俟姒輜滋髭	仔訾恣紫籽滓司漬廝鷥私梓字撕子孳絲斯思嘶死自	
水		蛻誰稅說睡	髓	誶穗邃隨隋隧綏遂碎歲睢燧祟雖	
火	夥伙	禍獲和壑擭濩貨活或豁霍惑穫			
爪	沼找	釗棹朝昭肇罩炤詔晁召著趙照兆招嘲抓撾櫂	澡帚走藻肘早蚤棗	皂鄹胄軸遭妯周驟縐造粥宙灶鑿週燥噪鄒糟奏冑紂陬揍舟晝譟咒啁籀皺躁洲州	
父	富馥覆附俯複府腑腐頫甫阜腹賻副傅復釜付撫斧莆赴婦輔咐脯賦負駙訃	氟縛匐馥覆附膚俯鈇複夫頫蝠紼扶甫芾幅紱袱賻傅付拂涪撫斧莆赴彿服脯賦芙俘訃富府腑腐阜孚弗輻福浮腹伏符菔副復釜敷怫婦孵趺輔咐麩負伕駙	瓠唬互戶琥滬楛沍護扈許虎	瓠壺鬍蝴鵠琥許斛惚唬戲呼戶滬沍楛護狐互胡湖囫葫虎扈弧瑚乎忽糊	
爻	洮淆崤謠榣瑤僥餚姚遙餚窯堯搖	邀要喲耀夭咬吆鷂杳舀腰樂窈麼鑰藥妖拗曜	鈾游郵猶猷疣遊尤油魷由	幼幽黝攸鼬誘悠宥右柚牖祐有侑莠友又酉囿佑優憂釉	
片	遍騙	駢扁胼篇偏翩便			
牙	蚜衙押涯芽	訝啞呀鴨壓鴉雅亞氬丫軋押煆疋			
牛		妞鈕拗扭紐忸	留劉寮繚泵琉聊瀏潦流寥撩療瘤遼僚嘹燎遛硫榴	尿廖柳撩料溜霤鉚餾燎了暸陸鳥六瞭裊嬝	
犬	蜷卷甽權詮銓畎佺踡全荃泉痊拳	蜷甽卷權圈詮銓踡畎勸佺全荃券泉痊拳	卷捲	倦卷雋捐捲鐫眷娟圈絹身涓鵑狷	
王	望亡旺妄忘	往望魍旺妄亡汪惘網枉罔輞尢忘	員玟耘文聞孕熨慍芸雲韻雯紋運筠蚊紊昀暈醞抆蘊汶紜勻問雲免	員玟刎耘文孕聞吻瘟熨隕溫慍芸塭雲韻雯紋運筠蚊紊昀暈抆醞氳蘊汶紜允勻問雲穩免	
丙	柄秉鉼屏稟餅炳	病兵併並摒並冰		繽彬瀕殯豳儐濱臏檳鬢賓	丘丕且世
世	拭恃式軾適是柿飾奭氏士使視螫弒市示試豉仕噬誓筮室勢侍嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	丙丘丕且
丕	劈壞披鈹被紕匹批霹	陂譬疲仳否沘僻癖琵啤闢鼙脾匹媲皮痞埤辟枇陴鈹屁紕罷毗疋裨			丙丘且世
且		契妾竊伽切挈愜茄怯鍥	姊解姐	捷芥階拮皆桔截街詰節傑桀揭疥藉誡孑頡接碣劫櫛解嗟羯訐竭戒睫界偕擷結潔借傑介屆	丙丘丕世
丘	蚯邱龜秋鞦鰍	仇毬酋泅求裘球梂囚	教啾蹺姣驕糾嬌焦詨揪鳩椒交蕉礁澆跤敲撬郊鮫膠橇鍬蛟	巧雀蹺皎廄鵲灸竅醮峭九究舊俏餃舅撬轎狡誚疚攪韭瞧赳久覺橋教樵鞘救憔悄姣窖玖糾就僥角愀殼喬柩較臼勦咎酒腳繳譙鉸校絞叫僑矯剿翹嚼	丙丕且世
主	渚囑貯屬拄煮矚	軸杼苧註築柱諸朱茱銖朮築燭鑄住助竹竺佇蛀藷侏硃誅蛛箸駐躅逐注豬祝株珠	詛祖俎組阻	卒租足族嗾	
乍	搾柵炸搾詐砟吒蚱咋	紮查閘眨炸喳札扎渣		紮雜咱偺砸匝	乎乏
乏	法筏砝伐閥罰	發琺法伐髮	蛤	哈	乍乎
乎	惚戲呼忽	瓠壺鬍蝴鵠琥許斛唬戶滬沍楛護狐互胡湖囫葫扈虎弧瑚糊	孵趺麩膚鈇敷伕夫	氟縛匐馥覆附俯複夫頫蝠紼扶甫芾幅紱袱賻傅付拂涪撫斧赴莆彿服脯賦芙俘訃富府腑腐阜孚弗輻福浮腹伏符菔副復釜怫婦輔咐父負駙	乍乏
以	尾椅蟻已乙矣旖偯迤迆倚	漪藝屹肄軼刈誼囈迤移縊逸彝溢佾夷沂宜劓醫疫頤噫疑懿鎰毅揖義訑蛇邑億液佚役儀易羿裔姨咦弋蜴壹驛飴弈譯帟翌異益栘臆遺亦艾腋曳咿議詣意伊繹怡貽憶掖浥翳圯胰奕一翼抑衣痍依			仔仕他令仗代仞付仙
付	富腹馥覆賻附副傅復複赴婦咐父阜賦負駙訃	氟縛匐膚鈇俯府腑夫腐頫蝠紼扶甫幅芾孚弗輻紱福袱浮伏符菔釜敷拂涪撫怫斧孵莆趺輔彿服父麩脯芙伕俘	瓠互戶滬楛沍護扈	壺鬍鵠蝴胡琥湖葫囫弧虎許斛瑚惚唬乎戲呼糊忽狐	仔仕他以令仗代仞仙
仔	訾紫滓籽子宰梓載	淄漬錙咨茲字姿子孜資諮災玆齜吱恣緇栽貲哉載在再孳輜滋自髭	止祇祉咫芷徵紙只趾指旨窄址	雉秩幟蛭齋齊祭宅志氏脂債值肢執祇峙枝治支制質祗之芝誌姪稚窒植織梔泜痣摘智緻胝翟滯汁吱致置寨痔摭至摯製輊躑躓蜘直擲識知隻炙只責職卮殖	仕他以令仗代仞付仙
仕	拭恃式軾適是柿飾奭氏士使視螫弒市示試豉噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	仔他以令仗代仞付仙
他	牠她它塌	遝塔漯榻蹋踏獺遢塌躂撻	瘩答搭褡躂	瘩答大打達韃靼怛	仔仕以令仗代仞付仙
仗	脹丈障賬長幛漲帳杖瘴	長獐掌漳漲蟑樟彰章璋張	陣枕鴆臟葬朕賑震藏娠奘鎮振	禎髒枕診貞縝真怎針楨斟疹臻贓珍臧砧臢偵榛甄箴	仔仕他以令代仞付仙
代	迨大貸黛怠逮岱待玳帶殆戴袋	逮待歹呆	泰汰態太	薹颱苔抬檯跆胎台臺	仔仕他以令仗仞付仙
令	另	齡領蛉拎菱櫺玲翎聆昤鴒泠苓凌陵綾鈴靈羚零嶺伶	吝佞躪藺濘賃	檸嚀霖痳麟鱗您獰凝林凜鄰燐淋寧磷擰懍轔遴臨琳璘	仔仕他以仗代仞付仙
仙	秈纖祆姍暹掀鮮先	僩峴餡涎顯限嫌莧銑舷銜啣鹹癬現霰險嫻腺閒鮮閑絃羨鹹憲獻弦蜆陷縣線賢蘚	箋監間尖肩縑湔兼姦堅韉漸菅殲奸緘艱濺煎	件檻劍健僭見艦毽漸諫囝檢柬簡濺減筧踐監箭間閒薦腱鍵剪建鹼瞼繭餞鑑鑒澗賤撿揀儉薦	仔仕他以令仗代仞付
仞	衽刃紉妊韌認飪軔任賃	仁荏稔壬人忍兒任	讓	扔瓤嚷攘仍禳壤	仔仕他以令仗代付仙
充	衝沖憧舂	衝寵崇蟲蟲重	蔥皴匆樅村囪從春聰	鶉吋忖淳寸醇蠢唇純淙脣從存叢	兄
兄	兇洶匈胸凶	熊雄	燻鈞龜軍勛君薰均醺勳	汛潯巡炯窘雋徇郡峻濬迥潠浚馴詢璿駿巽蕈殉循俊迅訓遜訊尋荀洵旬竣菌	充
冉	苒染髯	然燃髯			冊
冊	策惻測廁側		坼撤徹掣澈轍	車扯	冉
冬	鼕東咚	胴洞董棟凍動懂恫	蹲通吞墩恫敦惇	鈍銅桐僮慟豚潼屯筒臀統沌飩瞳同褪囤峒桶彤痛頓遁燉躉噸童盾盹	
凹		鼇鏖奧嗷媼遨敖澳熬懊翱拗襖傲聱	甌歐區鷗毆嘔	偶藕耦嘔噢	凸出
出	齣初	矗畜黜儲鋤除絀杵礎跦楮廚怵褚雛處櫥歜躇楚觸芻	粗	鏃趨錯促卒槭蹴蹙簇醋趣	凹凸
凸	荼鵠酴圖徒罟賈鼓穀屠突轂股谷塗滑牯蠱瞽余古詁鈷途骨	菰鴣土雇禿顧估僱呱故孤告兔沽菟蛄咕辜錮鈷姑吐固骨家	髑瀆櫝苦讀楛犢黷牘毒獨	骷杜蠹堵窟睹篤酷哭賭度鍍嘟庫渡肚都褲枯督妒	凹出
刊	戡看勘堪	侃坎看檻瞰勘砍崁	乾竿疳坩甘柑尷桿干肝	橄淦幹贛敢榦感稈桿趕	
加	嘉痂袈茄夾豭葭傢佳家迦	架假夏鉀頰稼甲挾駕價浹賈莢戛夾嫁胛	蝦瞎	狎暇俠轄嚇霞斜夏柙挾峽恰匣洽下卡狹黠遐廈呷瑕	功
功	共攻工宮紅蚣恭肱躬弓供釭龔公	礦鞏共汞貢供廾拱	倥髡琨焜崆坤錕昆空硿崑	輥鯀倥滾梱空袞孔捆睏恐綑棍困控	加
包	褒胞苞	葆鉋鑤爆報飽刨豹雹暴堡鮑褓抱寶保薄			匆
匆	蔥樅囪從聰	淙從叢	衝沖皴充憧村春舂	衝鶉吋崇蟲蟲忖淳寸醇蠢寵唇純重脣存	包
北		貝盃鋇揹卑倍背輩焙碑狽杯備臂邶憊悖被俾孛悲裨蓓			
匝	紮	雜咱偺砸	查喳扎渣	紮閘柵搾扎砟詐咋乍搾眨炸札渣吒蚱	
仟	簽阡嵌縴愆鉛千騫謙牽搴遷韆籤	乾欠前塹縴遣黔歉倩箝虔潛淺鈐譴錢鉗	箋監間尖肩縑湔兼姦堅韉漸菅殲奸緘艱濺煎	件檻劍健僭見艦毽漸諫囝檢柬簡濺減筧踐監箭間閒薦腱鍵剪建鹼瞼繭餞鑑鑒澗賤撿揀儉薦	半卉
半	瓣拌扮辦伴絆姅	板搬般斑舨頒瘢阪版班扳闆鈑			仟卉
卉	諱惠晦喙蕙燴慧繪穢彙彗賄會匯誨潰	麾恢詼蟲茴暉毀墮灰揮燬賄虺輝悔回會徽迴蛔誨			仟半
卡	咳	恰洽咖喀哈	賈假夏鉀甲胛	嘉架嘎頰傢挾迦價尬賈莢袈夾嫁佳假加葭稼駕軋浹痂噶戛茄豭家	占
占	詹譫湛站霑瞻沾暫戰顫氈佔綻棧蘸	詹嶄譫湛站霑瞻沾暫展戰顫氈盞佔斬輾綻棧蘸	簪鏨贊瓚暫讚	咱簪鏨贊偺瓚暫讚	卡
卯	泖茆	貿帽瑁貓耄冒矛懋髦錨貌毛茅茂	某	眸繆牟謀	卮
卮	肢祇織梔枝泜蜘支氏知隻只祗之脂芝胝汁吱	雉秩幟止蛭志芷值址執祇祉峙治制紙質誌姪稚窒植咫痣智緻滯致置痔摭至摯製輊躑躓直擲知識徵只炙趾指職旨殖	淄錙緇貲咨茲姿孳孜資輜滋諮齜玆髭吱	仔訾字恣紫滓籽漬子孳梓自	卯
去	娶趣漆	趨嶇娶劬取麴瞿璩蛆屈齲圈砠曲區渠蛐軀衢驅	炬苣颶懼具巨踞瞿鉅倨劇遽屨距俱聚據句鋸足拒	莒咀舉桔疽橘蛆跼車駒俱拘狙侷掬菊局鋸沮鞠居齟矩	
可	嗑課客恪溘坷渴剋髁喀克緙刻	軻課稞渴剋髁咳殼柯蚵瞌嗑恪客溘坷棵磕喀科克窠緙刻苛顆蝌	鉻各個葛箇	哥咯蛤箇鎘隔膈閣閤葛鴿郃歌格各戈骼疙個鉻擱割胳革鬲	叼司叻叵叱台右史召叭叮叨叩只叫古句另
古	轂凸股谷鵠滑蠱牯瞽罟賈鼓穀詁鈷骨	菰孤鴣告沽蛄雇咕辜錮顧鈷估僱姑呱固故骨家	苦楛	骷窟庫褲酷枯哭	叼司叻叵叱台右史召叭叮可叨叩只叫句另
右	幼鼬誘宥柚祐有侑莠又囿佑釉	游幽黝猶猷遊攸油悠由牖鈾有郵友疣莠酉尤優魷憂	樂要鑰耀藥拗曜鷂	要淆喲夭崤咬謠杳瑤僥窈堯搖邀洮吆舀榣腰餚姚麼遙餚窯妖爻	叼司叻叵叱台史召叭叮可叨叩只叫古句另
召	釗棹朝昭肇罩炤哨少詔晁著趙照招兆邵紹嘲櫂	昭肇炤著趙照找稍釗棹朝罩沼芍燒爪詔少杓韶晁兆招勺嘲捎櫂梢	皂鄹胄遭周壽驟受綬縐造嗽粥宙售灶週燥狩噪鄒糟奏獸冑瘦陬紂揍授舟晝譟咒掃啁籀皺躁洲州	皂鄹澡軸守妯周縐造棗颼嗾粥宙搜灶餿肘鑿搔週燥噪藻鄒騷收手冑紂陬揍舟走首藪啁皺州洲叟胄帚遭驟蚤蒐繅嫂熟奏糟艘晝譟咒早掃擻籀躁	叼司叻叵叱台右史叭叮可叨叩只叫古句另
叮	酊仃丁盯釘	定酊鼎頂錠訂釘	聽廳汀	廷霆婷聽蜓挺梃停亭艇庭	叼司叻叵叱台右史召叭可叨叩只叫古句另
