汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
分	棻氛吩纷忿愤份芬粪奋	棻氛吩汾份芬坟粪焚奋纷忿愤粉	疯峰讽丰丰凤行沆枫锋烽芳坊风亨俸哼横放恨奉方缝蜂枋封	疯吭峰妨恒倣航丰讽舫逢仿很丰凤冯纺行沆枫锋杭桁烽访芳坊风亨俸房哼横放痕恨肪奉狠方缝蜂防枋彷封衡	切刈
切	契妾窃挈惬怯锲	契妾窃伽挈惬茄怯锲且	阶芥皆解街嗟戒揭疥偕界藉诫结借接介届	捷阶芥拮皆桔街截诘节杰揭桀疥藉诫孑颉接碣姊劫栉解嗟羯讦竭戒睫偕界撷结洁借姐杰介届	分刈
刈	屹艺肄轶谊呓缢逸佾溢劓疫懿镒毅义邑亿液佚役易羿弋裔蜴驿弈帟译翌异益臆腋亦艾曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			切分
匀	纭耘云筠云昀芸	韵允员孕熨运陨晕酝愠蕴氲	文亡闻佣王雯纹玟蚊	佣雍蓊涌刎佣嗡文惘甬蛹网瘟用温忘望鄘永慵紊瓮妄邕问俑枉稳恿往拥踊翁魍勇王闻臃吻罔咏涌尢塭泳旺庸抆汶汪辋壅免	勿勾
勾	句枸钩沟	购构雊垢遘媾够诟搆狗枸苟	篙睾羔糕高皋膏	告缟扣槁寇铐考烤杲稿靠搞诰佝扣搅叩犒拷口	勿匀
勿	戊晤恶寤骛物悟坞雾兀误务𫐄钨垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于	勾匀
化	画话桦划华	哗划豁滑花哗桦划猾华			
匹	劈披仳否丕霹痞坏铍被纰批疋	劈披陂譬疲仳否沘坏僻癖琵批啤辟鼙脾媲丕霹皮痞埤辟枇陴铍被屁纰罢毗疋裨			
午	武怃舞鹉五捂伍妩侮	污晤骛巫吾坞悟亡误诬务无吴乌毋寤戊恶呜鼯于唔物勿雾屋兀圬钨𫐄污梧芜蜈垩	雨语与龉宇庾敔噢圉禹予屿羽圄	瘉滪域妤娱瘀驭狱逾峪昱燠褕蝓竽雩渝觎预渔迂语于与纡煜欲芋育余余俞欤堉郁豫毓虞裕盂御隅吁妪榆喻愚鱼玉欲誉禺熨舆愈寓愈愉谕御谷郁淤腴臾遇谀圩聿尉瑜予萸浴于	升卅
升	胜生牲笙甥声升升	胜渑绳乘賸省圣盛剩	砷信申僧莘伸呻娠深身森参绅	哂审甚渗沈肾蜃沁婶脤神慎沈	卅午
卅	萨飒	洒撒	霎厦煞	杀傻砂杉鲨莎裟纱煞沙	升午
卞	遍釆辩辫辨弁变汴便	褊鞭扁砭边蝙编贬匾			
厄	愕詻鳄遏俄轭哑噩恶呃锷颚扼鄂饿垩萼	额俄蛾哦婀讹娥阿峨鹅蚵			
友	牖有黝莠酉	游由邮疣莠又尤优忧幼幽犹猷攸游鼬诱宥油悠右柚祐铀有侑囿佑鱿釉	窈夭咬舀杳	要哟淆耀夭崤谣瑶侥钥尧摇洮邀吆鹞榣腰乐肴姚么遥肴窑药拗妖曜爻	反及
及	棘戢疾击辑寂集脊嫉藉唧急伋吉圾即楫瘠汲吃亟级极籍岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	歧其淇旗琪齐席琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆戚迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜𫍻谿稽牺亟唏嘻凄晞潟泣西契系憩奚戚砌七缉僖	反友
反	返	泛繙犯范泛梵矾番贩藩泛蕃樊墦凡饭烦翻范钒繁幡帆	罕喊	憾悍旱颌含函韩汉和干汗颔涵銲翰撼蚶捍鼾瀚寒酣焊	及友
壬	仁人儿任	刃衽妊纫稔仞忍轫任荏韧认饪赁	瓤攘仍禳	扔嚷让攘壤	
天	添	甜畋腼填腆舔忝恬田阗	滇巅颠癫	奠甸店点碘典靛玷佃惦电钿淀殿垫	夭夫太
夫	氟缚匐肤𫓧蝠绋扶幅芾孚弗辐绂福袱浮伏符菔敷拂涪怫孵趺佛服麸芙伕俘	氟缚匐馥覆附肤𫓧俯复𫖯蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆佛服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜敷怫孵妇趺辅咐父麸负伕驸	壶胡鹄蝴胡湖葫囫弧斛惚瑚乎戏呼糊忽狐	瓠壶胡蝴鹄琥许斛惚唬戏呼户沪沍楛护狐互胡湖囫葫扈虎弧瑚乎忽糊	夭天太
太	泰汰态	苔台苔抬台跆胎台台	迨黛大贷怠逮岱待玳带殆代戴袋	逮待歹呆	夭天夫
夭	邀窈要么哟妖咬吆舀杳腰	要哟淆耀崤咬杳谣瑶侥窈钥尧摇邀洮吆鹞舀榣腰乐肴姚么遥肴窑药妖拗曜爻	牖有幽黝莠友酉攸悠优忧	游黝由牖邮友疣莠又尤优忧幼幽犹猷攸游鼬诱悠宥油右柚祐铀有侑酉囿佑鱿釉	天夫太
孔	倥恐	倥崆控空硿	共辊矿鲧汞廾滚梱衮巩捆捆拱	共工琨锟蚣困躬功棍弓釭龚公攻宫红焜昆恭肱髡困坤供贡昆	
少	召邵绍哨	召勺邵绍芍捎哨烧稍杓韶梢	叟守狩寿受绶嗽手兽瘦嗾授售首薮扫擞嫂	叟守寿受绶嗽嗾飕搜售馊搜缫搔嫂熟狩收骚手兽瘦授艘首薮扫擞	
尤	铀游邮犹猷疣游油鱿由	幼幽黝攸鼬诱悠宥右柚牖祐有侑莠友又酉囿佑优忧釉	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇爻	邀要哟耀夭咬吆鹞杳舀腰乐窈么钥药妖拗曜	
尺	齿褫耻呎侈	翅炽啻蚩痴匙敕栘弛驰嗤饬魑迟笞吃赤踟叱痴吃持斥池墀	此	辞赐疵次祠雌词差伺茨厕瓷刺慈磁	
屯	囤谆臀肫饨豚	褪吞准准	铜桐盅僮装鬃樽棕潼踪中遵宗瞳同峒忠钟衷纵彤终忪妆桩尊钟童综庄	钝蹲偬仲栋粽惇恸状冬洞筒墩撞沌懂冢撙囤众总董桶纵顿恫俊炖通吨综踵东冬壮湩中动统从痛冢圳遁胴趸冻肿奘盾重敦盹咚种	
巴	叭疤扒笆捌吧芭八	把跋靶伯吧杷霸耙坝钹爸罢拔琶灞			
幻	涣奂豢焕换痪梡唤患宦	桓还环皖澴洹欢锾缓梡寰			
廿	念念	辇碾黏拈撵年辗撚捻涊	炼恋殓潋敛练炼链楝	帘莲联帘鲢濂连奁涟怜镰廉脸	
吊	掉钓吊调	刁凋叼雕碉鲷貂雕	𫖯眺覜跳	挑条佻丢调迢蜩窕	引
引	瘾听饮縯尹隐蚓	夤胤银鄞印饮因龈茵淫簷音寅垠湮姻阴吟慇氤荫殷隐霪	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛	吊
心	欣薪锌辛新馨芯䜣莘昕	信寻衅芯	泾粳馨精筋浆镶厢缰巾茎兴津惺乡疆斤星经香今惊江睛矜襄姜更襟觔兢晶旌僵京金湘鲸禁荆菁浸瓖姜腥猩将箱相	邢竟颈靖彊祥烬降静刑缙谨橡巷省陉进奖酱醒饷兴响幸竞噤尽形匠觐幸乡讲象璟桨锦近想项硎迳境景详劲警行翔径瑾享型绛性尽井馑晋像痉紧净向仅禁镜庠蒋憬浸杏敬阱悻姓飨将相向强	
戈	搁割胳哥歌疙鸽	郃各咯格骼个镉蛤个铬革隔阁膈合鬲葛	轲稞棵磕柯科窠刻苛蚵颗瞌蝌	嗑课客恪溘坷渴克髁可咳喀壳缂克刻	
户	瓠互沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐	富腹馥覆赙附副傅复付复赴妇咐父阜赋负驸讣	氟缚匐肤𫓧俯府腑夫腐𫖯蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅佛服父麸脯芙伕俘	
手	守首	授熟售狩寿受收绶兽瘦	叟薮扫擞少嫂嗾	芍骚哨烧嗽少杓飕韶召艘搜勺邵馊绍搜缫捎扫搔稍梢	扎
扎	扎查闸炸喳札渣	扎闸栅喳搾砟诈咋乍查眨搾炸札渣咤蚱	扎杂咱偺砸匝	扎杂咱偺砸匝	手
支	肢祇织栀枝泜蜘氏知只只祗之脂芝胝卮汁吱	雉秩帜止蛭志芷值址执祇祉峙治制纸质志姪稚窒植咫痣智致滞致置痔摭至挚制轾踯踬直掷知识征只炙趾指职旨殖	淄锱缁赀咨兹姿孳孜资辎滋咨龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自	
文	闻问雯纹玟紊蚊抆免汶	雯纹玟蚊紊抆刎汶闻问吻瘟温稳免塭	佣员佣耘亡孕王熨用愠芸忘云韵望运筠旺瓮昀妄晕酝蕴纭匀云	员佣雍蓊涌佣耘嗡惘甬蛹网用愠芸忘韵望鄘永慵筠瓮昀妄晕酝氲纭邕俑枉云恿往拥踊翁魍勇亡王孕臃熨罔陨咏涌尢云泳运旺庸蕴允汪匀辋壅	
斗	陡枓蚪抖	豆读斗窦痘脰都兜逗	讨导岛倒捣祷	刀涛萄焘韬桃偷头梼淘盗洮滔透逃稻啕悼到绦导叨陶套掏倒蹈饕投道	
斤	襟觔浸金矜津禁筋今巾	尽馑烬晋紧噤劲仅禁尽觐缙浸谨瑾进锦近	鎗青泾枪心粳馨芯精羌倾镶浆厢缰䜣茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎迳境景详罄擎劲警蔷擒行翔禽径𫄶享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强	
方	芳坊枋	放访倣防妨舫坊肪仿彷纺房	棻氛吩纷分芬	吭痕航分汾恨很份坟狠粪焚奋行沆杭桁忿愤粉	
日					
曰	约	粤越岳耀阅悦跃月乐钥刖𫐄药岳曜籥说玥			
月	粤越岳耀阅悦跃乐钥刖𫐄岳药曜籥说玥	曰约			
木	穆募牧慕沐幕睦目苜墓暮	母模牡亩拇姆姥			
欠	堑纤歉倩	干签前遣黔愆铅千箝迁千钤签谴钳阡嵌仟纤骞虔潜谦浅牵搴钱	件槛剑健僭见舰渐毽谏溅践监箭间闲荐腱建键饯鉴鉴涧贱荐	笺缣兼奸鞯渐歼奸囝艰柬检简溅减笕监间肩尖湔剪碱睑茧坚菅缄捡拣俭煎	
止	芷征纸趾祇只指祉旨咫址	雉秩帜蛭志氏脂值肢执祇峙枝治支制质祗之芝志姪稚窒植织栀泜痣智致胝滞汁吱致置痔摭至挚制轾踯踬蜘直掷识知只炙只职卮殖	仔訾紫滓籽子梓	恣淄渍锱缁赀咨兹字子姿孳资孜辎滋咨龇玆髭自吱	
歹	逮	迨黛大贷怠逮岱待玳带呆殆代戴袋		泰苔台抬汰跆胎台台太苔台态	
毋	吾亡诬无鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂𫐄污垩	盂妤隅娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴	
比	弊璧必笔敝铋薜哔匕痺箄沘妣襞避臂毙庇毕俾愎碧陛贲泌鄙跸篦蔽诐埤彼辟闭弼秘婢壁睥币裨	弊笔璧必敝铋薜匕哔痺箄沘妣襞避臂毙逼庇毕愎俾陛碧贲泌鄙跸篦蔽诐彼埤辟闭弼婢秘壁睥币鼻裨			
毛	髦锚茅矛	懋泖貌贸帽茆瑁卯猫茂耄冒	眸缪牟谋	某	
氏	拭恃轼是使视脂豉仕肢噬祇誓筮室枝嗜支逝祗之芝舐式适柿饰织栀奭泜士螫弑胝市汁示试吱势侍世蜘识知只只事卮释	豕雉秩帜止蛭匙湿狮志芷拾虱使失虱值嘘址执蚀祇祉峙施提治尸制什纸质屎志姪尸稚窒植咫痣诗硕十智致滞致始置埘石痔摭至挚实食制时轾踯史踬师湿直掷知识矢征只炙趾指职射旨驶殖	赐淄泗肆锱饲咨兹巳嗣伺耜似姿资孜咨玆龇四吱祀缁兕赀食孳寺驷俟姒辎滋髭	仔訾恣紫籽滓司渍厮鸶私梓字撕子孳丝斯思嘶死自	
水		蜕谁税说睡	髓	谇穗邃随隋隧绥遂碎岁睢燧祟虽	
火	伙伙	祸获和壑擭濩货活或豁霍惑获			
爪	沼找	钊棹朝昭肇罩炤诏晁召著赵照兆招嘲抓挝櫂	澡帚走藻肘早蚤枣	皂鄹胄轴遭妯周骤绉造粥宙灶凿周燥噪邹糟奏胄纣陬揍舟昼噪咒啁籀皱躁洲州	
父	富馥覆附俯复府腑腐𫖯甫阜腹赙副傅复釜付抚斧莆赴妇辅咐脯赋负驸讣	氟缚匐馥覆附肤俯𫓧复夫𫖯蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧莆赴佛服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜敷怫妇孵趺辅咐麸负伕驸	瓠唬互户琥沪楛沍护扈许虎	瓠壶胡蝴鹄琥许斛惚唬戏呼户沪沍楛护狐互胡湖囫葫虎扈弧瑚乎忽糊	
爻	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇	邀要哟耀夭咬吆鹞杳舀腰乐窈么钥药妖拗曜	铀游邮犹猷疣游尤油鱿由	幼幽黝攸鼬诱悠宥右柚牖祐有侑莠友又酉囿佑优忧釉	
片	遍骗	骈扁胼篇偏翩便			
牙	蚜衙押涯芽	讶哑呀鸭压鸦雅亚氩丫轧押煆疋			
牛		妞钮拗扭纽忸	留刘寮缭泵琉聊浏潦流寥撩疗瘤辽僚嘹燎遛硫榴	尿廖柳撩料溜霤铆馏燎了暸陆鸟六瞭袅嬝	
犬	蜷卷甽权诠铨畎佺踡全荃泉痊拳	蜷甽卷权圈诠铨踡畎劝佺全荃券泉痊拳	卷卷	倦卷隽捐卷镌眷娟圈绢身涓鹃狷	
王	望亡旺妄忘	往望魍旺妄亡汪惘网枉罔辋尢忘	员玟耘文闻孕熨愠芸云韵雯纹运筠蚊紊昀晕酝抆蕴汶纭匀问云免	员玟刎耘文孕闻吻瘟熨陨温愠芸塭云韵雯纹运筠蚊紊昀晕抆酝氲蕴汶纭允匀问云稳免	
丙	柄秉鉼屏禀饼炳	病兵并并摒并冰		缤彬濒殡豳傧滨膑槟鬓宾	丘丕且世
世	拭恃式轼适是柿饰奭氏士使视螫弑市示试豉仕噬誓筮室势侍嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死	丙丘丕且
丕	劈坏披铍被纰匹批霹	陂譬疲仳否沘僻癖琵啤辟鼙脾匹媲皮痞埤辟枇陴铍屁纰罢毗疋裨			丙丘且世
且		契妾窃伽切挈惬茄怯锲	姊解姐	捷芥阶拮皆桔截街诘节杰桀揭疥藉诫孑颉接碣劫栉解嗟羯讦竭戒睫界偕撷结洁借杰介届	丙丘丕世
丘	蚯邱龟秋秋鳅	仇毬酋泅求裘球梂囚	教啾跷姣骄纠娇焦詨揪鸠椒交蕉礁浇跤敲撬郊鲛胶橇锹蛟	巧雀跷皎厩鹊灸窍醮峭九究旧俏饺舅撬轿狡诮疚搅韭瞧赳久觉桥教樵鞘救憔悄姣窖玖纠就侥角愀壳乔柩较臼勦咎酒脚缴谯铰校绞叫侨矫剿翘嚼	丙丕且世
主	渚嘱贮属拄煮瞩	轴杼苎注筑柱诸朱茱铢术筑烛铸住助竹竺伫蛀𫉄侏朱诛蛛箸驻躅逐注猪祝株珠	诅祖俎组阻	卒租足族嗾	
乍	搾栅炸搾诈砟咤蚱咋	扎查闸眨炸喳札扎渣		扎杂咱偺砸匝	乎乏
乏	法筏砝伐阀罚	发珐法伐发	蛤	哈	乍乎
乎	惚戏呼忽	瓠壶胡蝴鹄琥许斛唬户沪沍楛护狐互胡湖囫葫扈虎弧瑚糊	孵趺麸肤𫓧敷伕夫	氟缚匐馥覆附俯复夫𫖯蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆佛服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜怫妇辅咐父负驸	乍乏
以	尾椅蚁已乙矣旖偯迤迆倚	漪艺屹肄轶刈谊呓迤移缢逸彝溢佾夷沂宜劓医疫颐噫疑懿镒毅揖义𫍙蛇邑亿液佚役仪易羿裔姨咦弋蜴壹驿饴弈译帟翌异益栘臆遗亦艾腋曳咿议诣意伊绎怡贻忆掖浥翳圯胰奕一翼抑衣痍依			仔仕他令仗代仞付仙
付	富腹馥覆赙附副傅复复赴妇咐父阜赋负驸讣	氟缚匐肤𫓧俯府腑夫腐𫖯蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅佛服父麸脯芙伕俘	瓠互户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐	仔仕他以令仗代仞仙
仔	訾紫滓籽子宰梓载	淄渍锱咨兹字姿子孜资咨灾玆龇吱恣缁栽赀哉载在再孳辎滋自髭	止祇祉咫芷征纸只趾指旨窄址	雉秩帜蛭斋齐祭宅志氏脂债值肢执祇峙枝治支制质祗之芝志姪稚窒植织栀泜痣摘智致胝翟滞汁吱致置寨痔摭至挚制轾踯踬蜘直掷识知只炙只责职卮殖	仕他以令仗代仞付仙
仕	拭恃式轼适是柿饰奭氏士使视螫弑市示试豉噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死	仔他以令仗代仞付仙
他	牠她它塌	遝塔漯榻蹋踏獭遢塌跶挞	瘩答搭褡跶	瘩答大打达鞑靼怛	仔仕以令仗代仞付仙
仗	胀丈障账长幛涨帐杖瘴	长獐掌漳涨蟑樟彰章璋张	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴	仔仕他以令代仞付仙
代	迨大贷黛怠逮岱待玳带殆戴袋	逮待歹呆	泰汰态太	苔台苔抬台跆胎台台	仔仕他以令仗仞付仙
令	另	龄领蛉拎菱棂玲翎聆昤鸰泠苓凌陵绫铃灵羚零岭伶	吝佞躏蔺泞赁	柠咛霖痳麟鳞您狞凝林凛邻燐淋宁磷拧懔辚遴临琳璘	仔仕他以仗代仞付仙
仙	籼纤祆姗暹掀鲜先	僩岘馅涎显限嫌苋铣舷衔啣咸癣现霰险娴腺闲鲜闲弦羡咸宪献弦蚬陷县线贤藓	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建碱睑茧饯鉴鉴涧贱捡拣俭荐	仔仕他以令仗代仞付
仞	衽刃纫妊韧认饪轫任赁	仁荏稔壬人忍儿任	让	扔瓤嚷攘仍禳壤	仔仕他以令仗代付仙
充	冲冲憧舂	冲宠崇虫虫重	葱皴匆枞村囱从春聪	鹑吋忖淳寸醇蠢唇纯淙唇从存丛	兄
兄	凶汹匈胸凶	熊雄	熏钧龟军勋君薰均醺勋	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌	充
冉	苒染髯	然燃髯			册
册	策恻测厕侧		坼撤彻掣澈辙	车扯	冉
冬	冬东咚	胴洞董栋冻动懂恫	蹲通吞墩恫敦惇	钝铜桐僮恸豚潼屯筒臀统沌饨瞳同褪囤峒桶彤痛顿遁炖趸吨童盾盹	
凹		鼇鏖奥嗷媪遨敖澳熬懊翱拗袄傲聱	瓯欧区鸥殴呕	偶藕耦呕噢	凸出
出	出初	矗畜黜储锄除绌杵础跦楮厨怵褚雏处橱歜躇楚触刍	粗	镞趋错促卒槭蹴蹙簇醋趣	凹凸
凸	荼鹄酴图徒罟贾鼓谷屠突毂股谷涂滑牯蛊瞽余古诂钴途骨	菰鸪土雇秃顾估雇呱故孤告兔沽菟蛄咕辜锢钴姑吐固骨家	髑渎椟苦读楛犊黩牍毒独	骷杜蠹堵窟睹笃酷哭赌度镀嘟库渡肚都裤枯督妒	凹出
刊	戡看勘堪	侃坎看槛瞰勘砍崁	干竿疳坩甘柑尴杆干肝	橄淦干赣敢干感秆杆赶	
加	嘉痂袈茄夹豭葭家佳家迦	架假夏钾颊稼甲挟驾价浃贾荚戛夹嫁胛	虾瞎	狎暇侠辖吓霞斜夏柙挟峡恰匣洽下卡狭黠遐厦呷瑕	功
功	共攻工宫红蚣恭肱躬弓供釭龚公	矿巩共汞贡供廾拱	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐捆棍困控	加
包	褒胞苞	葆铇鑤爆报饱刨豹雹暴堡鲍褓抱宝保薄			匆
匆	葱枞囱从聪	淙从丛	冲冲皴充憧村春舂	冲鹑吋崇虫虫忖淳寸醇蠢宠唇纯重唇存	包
北		贝杯钡揹卑倍背辈焙碑狈杯备臂邶惫悖被俾孛悲裨蓓			
匝	扎	杂咱偺砸	查喳扎渣	扎闸栅搾扎砟诈咋乍搾眨炸札渣咤蚱	
仟	签阡嵌纤愆铅千骞谦牵搴迁千签	干欠前堑纤遣黔歉倩箝虔潜浅钤谴钱钳	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建碱睑茧饯鉴鉴涧贱捡拣俭荐	半卉
半	瓣拌扮办伴绊姅	板搬般斑舨颁瘢阪版班扳板钣			仟卉
卉	讳惠晦喙蕙烩慧绘秽汇彗贿会汇诲溃	麾恢诙虫茴晖毁堕灰挥毁贿虺辉悔回会徽回蛔诲			仟半
卡	咳	恰洽咖喀哈	贾假夏钾甲胛	嘉架嘎颊家挟迦价尬贾荚袈夹嫁佳假加葭稼驾轧浃痂噶戛茄豭家	占
占	詹谵湛站霑瞻沾暂战颤毡占绽栈蘸	詹崭谵湛站霑瞻沾暂展战颤毡盏占斩辗绽栈蘸	簪錾赞瓒暂赞	咱簪錾赞偺瓒暂赞	卡
卯	泖茆	贸帽瑁猫耄冒矛懋髦锚貌毛茅茂	某	眸缪牟谋	卮
卮	肢祇织栀枝泜蜘支氏知只只祗之脂芝胝汁吱	雉秩帜止蛭志芷值址执祇祉峙治制纸质志姪稚窒植咫痣智致滞致置痔摭至挚制轾踯踬直掷知识征只炙趾指职旨殖	淄锱缁赀咨兹姿孳孜资辎滋咨龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自	卯
去	娶趣漆	趋岖娶劬取曲瞿璩蛆屈龋圈砠曲区渠蛐躯衢驱	炬苣飓惧具巨踞瞿巨倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙局掬菊局锯沮鞠居龃矩	
可	嗑课客恪溘坷渴克髁喀克缂刻	轲课稞渴克髁咳壳柯蚵瞌嗑恪客溘坷棵磕喀科克窠缂刻苛颗蝌	铬各个葛个	哥咯蛤个镉隔膈阁合葛鸽郃歌格各戈骼疙个铬搁割胳革鬲	叼司叻叵叱台右史召叭叮叨叩只叫古句另
古	毂凸股谷鹄滑蛊牯瞽罟贾鼓谷诂钴骨	菰孤鸪告沽蛄雇咕辜锢顾钴估雇姑呱固故骨家	苦楛	骷窟库裤酷枯哭	叼司叻叵叱台右史召叭叮可叨叩只叫句另
右	幼鼬诱宥柚祐有侑莠又囿佑釉	游幽黝犹猷游攸油悠由牖铀有邮友疣莠酉尤优鱿忧	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚么遥肴窑妖爻	叼司叻叵叱台史召叭叮可叨叩只叫古句另
召	钊棹朝昭肇罩炤哨少诏晁著赵照招兆邵绍嘲櫂	昭肇炤著赵照找稍钊棹朝罩沼芍烧爪诏少杓韶晁兆招勺嘲捎櫂梢	皂鄹胄遭周寿骤受绶绉造嗽粥宙售灶周燥狩噪邹糟奏兽胄瘦陬纣揍授舟昼噪咒扫啁籀皱躁洲州	皂鄹澡轴守妯周绉造枣飕嗾粥宙搜灶馊肘凿搔周燥噪藻邹骚收手胄纣陬揍舟走首薮啁皱州洲叟胄帚遭骤蚤搜缫嫂熟奏糟艘昼噪咒早扫擞籀躁	叼司叻叵叱台右史叭叮可叨叩只叫古句另
叮	酊仃丁盯钉	定酊鼎顶锭订钉	听厅汀	廷霆婷听蜓挺梃停亭艇庭	叼司叻叵叱台右史召叭可叨叩只叫古句另
叩	扣佝扣寇	口	购雊构告够媾搆铐靠垢诰遘诟犒	缟糕槁皋高枸考烤杲稿钩沟勾搞搅篙睾羔狗句拷膏苟	叼司叻叵叱台右史召叭叮可叨只叫古句另
叨	刀	悼到导岛倒蹈捣稻盗祷道	滔涛绦偷掏韬都饕兜	斗涛萄蚪焘桃豆头梼淘窦洮陡枓透读斗脰痘逃啕讨陶套抖投逗	叼司叻叵叱台右史召叭叮可叩只叫古句另
叼	刁凋雕碉鲷貂雕	掉钓吊调吊	挑丢	𫖯眺挑条佻调迢蜩覜窕跳	司叻叵叱台右史召叭叮可叨叩只叫古句另
司	撕厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四	狮师湿虱诗尸失尸虱施湿嘘	拭豕恃轼是匙氏拾使视豉仕噬蚀誓筮室提嗜什逝屎舐式适柿饰奭士硕螫十弑市示试始埘石食实时势侍世史识矢射事驶释	叼叻叵叱台右史召叭叮可叨叩只叫古句另
叵	剖颇	酦破迫粕陂鄱朴魄波婆泊坡珀泼			叼司叻叱台右史召叭叮可叨叩只叫古句另
