#汉字	同音同调	同音异调
一	壹	漪
吸	悉膝熙厘畦栖携晰析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
吮	盾	瞬顺
吵	炒	嘲潮抄朝钞超巢剿
呐	那钠纳捺娜	拿哪
吠	废费沸肺	啡肥菲非诽飞匪
吼		猴厚后侯候喉
呀	押鸭压鸦	牙蚜轧雅讶涯衙亚芽哑
吱	资枝肢姿支脂汁只氏芝知滋织蜘之咨	址植自治仔致制直窒掷字征帜执籽稚志智挚值止纸趾职至秩置紫滞殖指识旨子质滓
含	韩寒函涵汗	罕旱悍喊和翰撼憾捍焊汉酣
吟	淫银	印瘾隐引听饮因殷蚓茵音姻阴
听	瘾引隐饮蚓	印吟淫银因殷茵音姻阴
囱	聪从窗疮创匆葱	丛抢幢闯床撞
困		捆坤昆
囤	臀吨盹盾屯顿钝	吞敦墩蹲褪
坊	芳房妨肪方防	放访纺仿
坑	吭
址	只征止指纸趾旨	植治致制直脂窒掷氏织帜执稚蜘之志智挚枝肢值职至支秩吱置汁芝知滞殖识质
均	君钧龟军	菌窘骏峻竣俊
坎	砍	刊勘堪看
圾	辑即籍吃棘瑟脊色借唧塞急嫉涩击级寂集及吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
坐	凿座做	昨左
坏	匹霹批被胚劈披	陪培徊否屁佩脾赔罢啤淮配沛怀疲槐譬皮僻辟
壮	撞状	妆装庄桩
夹	佳荚加挟家颊嘉茄	假钾贾价稼甲嫁夏架驾
妆	装庄桩	壮撞状
妒	肚渡杜度镀	牍堵督毒都读睹独赌
妨	肪坊房防	芳放访纺方仿
妙	庙	描秒瞄苗渺藐
妖	么夭哟腰吆要邀	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
妓	际纪荠祭季记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
妥	椭	拖托唾脱拓驮驼鸵
孝	效肖笑酵校啸	嚣晓哮削宵小硝箫销萧学消
完	玩丸顽	万腕碗娩宛豌惋湾婉晚弯挽
宋	诵颂送讼	耸松
宏	洪鸿红虹	汞轰哄烘
局	鞠橘菊	聚蛆沮居车具俱炬举锯句据拘巨剧距拒驹惧矩足
屁	辟僻譬	否匹脾霹啤批坏被罢疲皮劈披
尿		鸟
尾	委伟椅乙苇矣蚁纬萎已以倚	喂艺医未味威仪疫忆谓翼奕液毅一议巍谊畏腋薇逸掖义移役蔚易姨微宜亿绎译蛇危夷为卫疑位肄维胃意抑偎伊慰异漪衣益围屹艾依邑尉伪亦违遗溢胰桅揖唯壹魏
岔	刹差	察叉插喳查茶
巫	蜈吴于无芜亡诬梧乌屋呜污恶	武舞务伍勿雾晤误物坞悟捂侮午鹉五
希	悉膝熙厘畦栖吸携晰析行西牺犀稀嬉溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
序	叙畜绪恤酗絮旭婿蓄续	许徐需虚须吁
庇	毙臂毕弊币必避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
床	撞幢	抢窗囱闯疮创
廷	庭蜓亭停	厅艇听挺
弄		农浓脓
弟	的蒂递帝第地缔	笛抵嘀低嫡滴底涤敌芽
彤	桐铜童同瞳	统筒桶痛通
形	邢行刑型	醒腥星性兴姓猩杏幸省
役	腋邑逸艺肄掖亦意抑义溢疫异易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
忘	王旺妄望	往网枉亡汪
忌	际纪妓荠祭季记剂系既计鲫继技济寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
志	智挚致治制至秩置窒知滞帜识稚质	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
忍		赁认韧纫人刃儿仁任
忱	沈臣晨沉尘陈辰	趁称衬
快	筷会块刽
戒	届介界借解诫芥	接节杰竭截揭阶皆街劫捷姊结洁姐
抄	钞剿超	嘲潮吵朝炒巢
抗	炕	糠慷扛康
抖	蚪斗陡	痘都读逗兜豆
技	际纪妓荠祭季记剂系既计鲫继济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
扶	芙辐蝠浮福幅服缚俘袱符伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
扭	钮纽	牛拗
把	靶	八巴伯罢笆芭疤跋吧叭爸霸扒捌耙拔坝
扼	噩愕俄遏饿恶鳄哑	阿额讹鹅蛾
找	沼爪	昭赵罩招嘲召朝兆着照
批	匹霹坏被劈披	屁否脾罢啤疲譬皮僻辟
扳	班搬颁般斑	拌扮半伴板版绊办瓣
抒	疏殊枢梳输书蔬舒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
扯		撤澈车辙彻
折	摘辙哲	遮宅浙蔗者
扮	半拌伴绊办瓣	班板扳搬颁版般斑
投	头	偷透
抓		爪
抑	腋邑逸艺肄掖亦意义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
改		概丐该溉盖钙
攻	宫弓共蚣躬公工供恭功红	拱汞巩贡矿
旱	焊悍翰撼憾捍汗汉	罕韩喊寒和函涵含酣
更	鲸兢惊精经睛荆耕茎羹京晶	颈径境竞埂静阱梗景净井劲靖耿敬警竟镜
束	树疏术数述竖庶署曙恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
李	礼理哩里鲤	立吏犁厘黎狸梨砾雳丽痢璃隶沥离粒励厉力荔历莉篱漓例俐利栗
杏	兴性姓幸	邢行型刑形醒腥星猩省
材	财才裁	菜采踩猜彩睬
村		存寸
杜	肚渡度镀妒	牍堵督毒都读睹独赌
杖	丈涨长帐胀仗账障	彰掌樟张章
杉	衫山沙煞砂删纱珊扇杀	霎闪傻善陕单赡擅厦膳
杆	干肝竿甘柑	感赶敢秆橄
步	埠簿怖部布不	捕补哺卜
每	美	媒煤霉枚昧妹梅楣玫媚眉没
求	仇球囚	蚯丘龟秋
汞	共拱矿巩	弓公攻工哄烘贡轰供红虹宫宏蚣躬鸿恭洪功
沙	砂煞杉纱杀	霎厦傻
沈	臣晨审婶沉尘陈辰忱	称伸甚呻慎趁信肾绅申渗衬深参身神
沉	沈臣晨尘陈辰忱	趁称衬
沛	配佩	陪培赔坏胚
汪		往旺网妄忘枉王亡望
决	掘倔觉角绝诀爵脚嚼
沐	幕募木慕暮目牧墓穆睦	亩姥姆母拇模牡
汰	态泰太	台抬胎苔
冲	充	崇宠虫重
没	默漠媒磨墨脉霉莫枚沫梅陌茉眉煤末膜楣玫寞	美么每昧蘑摩抹魔摸媚摹模妹
汽	泣器迄气弃砌契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
沃	握卧	窝涡我
灶	皂躁造噪燥	蚤糟早枣遭藻凿澡
灼	卓浊茁拙着啄琢酌	桌捉
灾	栽	仔宰在再载
灸	九酒久韭纠玖	就舅揪鸠臼旧救疚究
牢	劳唠	烙姥老酪捞络
牡	亩姥姆母拇	幕募木慕暮沐目牧墓穆模睦
狂		框筐旷眶况矿
玖	九酒久韭灸纠	就舅揪鸠臼旧救疚究
甫	腐斧父抚俯府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
男	难南
甸	店垫殿玷淀佃奠电惦	颠典点碘
皂	躁造灶噪燥	蚤糟早枣遭藻凿澡
盯	丁叮钉	锭鼎定顶订
矣	尾椅乙蚁已以倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
私	司丝思斯撕嘶	死食四饲伺肆似赐寺
秀	锈臭宿袖嗅绣	朽休修羞
秃		土凸吐徒兔涂图突屠途
究	就舅臼旧救疚	九酒久揪鸠韭灸纠玖
系	夕细隙戏	悉膝熙厘习畦息栖吸惜洗携晰熄析锡席行徙袭媳西喜牺昔犀稀嬉希溪蟋
罕	喊	韩悍和函翰涵汗汉酣旱寒撼憾捍焊含
肖	效孝笑酵校啸	嚣晓哮削宵小硝箫销萧学消
肝	干竿杆甘柑	感赶敢秆橄
肘	帚	昼舟周咒州粥皱洲轴宙
肛	扛岗纲冈缸钢刚	港
肚	渡堵杜睹镀度妒赌	牍督毒都读独
育	域裕玉愈尉誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
良	凉量粱梁粮	两俩谅晾亮辆
芒	氓盲茫忙	莽
芋	域裕玉愈尉育誉浴寓欲御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
芍	勺	稍捎少梢烧绍召哨
见	践建溅鉴渐健荐监件涧键舰间贱剑箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
角	侥矫狡倔绞诀绝掘搅较觉决饺缴剿爵脚嚼	交椒轿叫蕉娇胶焦窖礁教校骄浇郊
言	炎颜阎延沿研癌盐严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
谷	域裕玉愈凸尉育誉浴寓欲鼓滑芋御骨狱股贾郁古与豫预遇语吁喻	沽屿于愉榆顾淤辜渔娱家舆隅雇姑羽逾估雨予鱼咕告愚孤迂故宇固
豆	斗逗痘读	都陡兜蚪抖
贝	臂背被辈焙狈惫备倍	卑悲杯北碑
赤	翅斥	匙弛驰池迟持吃尺嗤齿耻侈
走		奏揍骤
足	聚巨剧距具拒俱卒惧炬句锯族据	拘鞠蛆沮居车阻诅租橘驹祖组矩举局菊
身	圈伸鹃信申绅捐深参呻	沈甚卷审婶慎倦眷肾渗绢神
车	拘蛆沮居俱驹锯	扯聚具彻炬举局巨橘矩辙足撤澈句据菊鞠剧距拒惧
辛	欣薪新心锌芯	衅信寻
辰	沈臣晨沉尘陈忱	趁称衬
迂	淤	屿于愈愉榆浴狱渔娱与豫舆隅遇语羽谷喻域逾裕雨予玉尉育誉鱼寓欲愚御郁预吁芋宇
迅	逊讯训驯汛殉	巡寻旬勋询循
迄	泣器气弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
巡	寻旬询驯循	逊讯训勋迅汛殉
邑	腋逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
邢	行形刑型	醒腥星性兴姓猩杏幸省
邪	鞋挟协携谐斜胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
邦	傍梆帮	蚌谤旁膀榜磅棒绑
那	钠哪呐纳捺娜	拿
里	李礼理哩鲤	立吏犁厘黎狸梨砾雳丽痢璃隶沥离粒励厉力荔历莉篱漓例俐利栗
防	肪坊房妨	芳放访纺方仿
阱	颈警景井	兢惊径境竞荆茎靖京竟镜鲸经精睛静净劲敬更晶
并	病	饼柄禀冰兵秉屏丙
乖		拐怪
乳	女辱	蠕入如褥儒
事	拭势逝室是使柿侍市士世饰适誓试氏视恃示式识释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
些	歇	骇屉屑鞋挟蟹携谐楔斜邪懈械胁谢写协卸契泻解血
亚	雅讶轧哑	牙压蚜鸭鸦呀涯衙押芽
享	想响	像祥向箱镶巷详湘象降橡相项乡厢翔香
京	鲸兢惊精经睛荆茎更晶	颈径境竞静阱景净井劲靖警敬竟镜
依	揖衣医伊一壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
侍	拭势逝室是使柿市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
佳	加家夹嘉茄	荚钾挟价架稼甲颊夏嫁贾假驾
使	拭势逝室屎是柿侍市士世驶饰矢适誓试氏视恃示式史识事始释嗜	狮提匙实失时施诗什石食十虱蚀拾硕射师湿尸
供	宫弓共攻蚣躬工公贡恭功红	巩矿拱汞
例	立吏砾雳丽痢隶沥粒励厉力荔历莉俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
来	莱	癞赖
并	病	饼柄禀冰兵秉屏丙
侈	齿耻尺	翅匙斥驰迟池赤持吃嗤弛
佩	配沛	陪培赔坏胚
仑	轮抡伦论沦
兔	吐	秃土凸徒涂图突屠途
儿	而	尔耳饵贰二
两	俩	凉量谅粱晾良亮辆梁粮
具	聚巨剧距拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
其	激绩叽枝旗畦稽居鸡唧机脐歧几迹只鳍基饥箕棋奇肌积齐畸崎祈骑期讥	纪泣迄妓戚漆籍给荠即吃棘脊借记急妻嫉七既鲫级寂气集及继砌济契挤寄凄企冀吉际启辑栖祭欺季柒剂起击系计器乞弃技圾汽忌溪己岂极疾
典	碘点	店垫殿甸玷佃淀奠颠电惦
函	韩寒涵汗含	罕旱悍喊和翰撼憾捍焊汉酣
刻	磕苛科客课蝌棵颗可克	咳坷壳渴
券	劝	圈泉卷拳权痊犬全
刷		耍
刺	赐伺次厕	瓷此词差雌祠辞慈磁
到	道悼稻盗倒导蹈	叨刀岛祷捣
刮	瓜蜗括	卦挂寡褂
制	智挚致治至秩置窒知滞帜识稚质志	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
卒	错促趋趣醋族簇足	粗阻诅租祖组
协	鞋挟携谐斜邪胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
卓	浊茁灼拙着啄琢酌	桌捉
卑	悲杯背碑	臂贝被辈焙狈惫北备倍
卦	挂褂	刮寡瓜蜗括
卷	圈泉拳权痊倦眷犬绢全	券劝鹃捐身
卸	骇屉谢屑蟹契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
取	曲娶	圈屈蛆去漆趋躯岖驱趣区渠
叔	赎熟淑	树梳黍术鼠薯曙述蜀束署书抒暑疏殊枢输属数竖庶蔬恕墅漱舒
受	售兽瘦授寿	收首守手熟
味	为卫谓位尉喂伪胃未遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
呵	喝	合鹤贺核盖荷和何河禾吓盒赫褐
咖	哈	咳卡
咕	估辜沽家姑孤	固股凸贾古雇鼓顾告滑故骨谷
呻	信绅申深参身伸	沈甚审慎婶肾渗神
咒	昼宙皱	肘舟周州粥洲轴帚
咆	刨炮袍	跑泡抛
呼	乎忽戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
咐	附妇赴傅赋富复父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
和	合鹤贺核盖荷何河喝禾吓赫盒酣褐	韩函翰涵汉旱寒活祸含豁悍或汗霍罕喊获伙货火撼憾呵焊捍惑
呢	泥尼	你逆溺匿腻拟
周	州舟粥洲	昼肘咒皱帚轴宙
命		鸣铭螟明名
固	估雇告顾故	孤沽辜股凸古家咕鼓姑滑贾骨谷
垃	勒乐肋	了
坷	可渴	咳磕苛科客课蝌棵刻壳颗克
坪	苹萍评屏平冯瓶凭	乒
坡	波泼	泊剖朴魄颇破婆迫
坦	袒毯	贪檀碳炭叹探谭潭弹瘫痰坛昙谈滩摊
坤	昆	捆困
夜	页咽业叶射谒	爷野椰也冶
奉	讽凤缝	丰疯峰风封枫锋逢冯蜂
奇	激绩叽枝旗畦稽居鸡唧机脐歧几迹只鳍基饥箕棋肌积齐其畸崎祈骑期讥	纪泣迄妓戚漆籍给荠即吃棘脊借记急妻嫉七既鲫级寂气集及继砌济契挤寄凄企冀吉际启辑栖祭欺季柒剂起击系计器乞弃技圾汽忌溪己岂极疾
奈	奶耐乃
奄	淹咽殷烟燕厌	炎艳焰延雁癌砚衍盐言掩谚颜验沿堰眼唁演阎宴研严
奔		本笨
妻	泣迄戚漆栖欺柒七器气弃砌汽契凄企溪	只鳍枝启旗稽畦乞棋奇歧齐其崎脐祈起岂骑期
委	伟尾苇威偎萎纬	为卫位喂维未胃味慰谓围巍畏薇伪尉违遗蔚微桅唯危魏
妹	昧媚	美媒煤每霉枚梅楣玫眉没
姑	估辜沽家咕孤	固股凸贾古雇鼓顾告滑故骨谷
姆	亩姥母拇牡	幕募木慕暮沐目牧墓穆模睦
姐	姊解	节杰竭截街劫借结洁戒芥接揭阶届界介捷皆诫
始	屎使史驶矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
姓	兴性杏幸	邢行型刑形醒腥星猩省
姊	姐解	节杰竭截街劫借结洁戒芥接揭阶届界介捷皆诫
孟	梦	锰蒙萌猛檬朦盟
孤	估沽辜家咕姑	固股凸贾古雇鼓顾告滑故骨谷
季	际纪妓荠祭记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
宗	踪棕纵综	从总
定	锭订钉	丁盯叮鼎顶
官	观关棺冠	馆管惯贯罐灌
宜	夷疑蛇遗仪一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
宙	咒昼皱	肘舟周州粥洲轴帚
宛	碗娩渊冤鸳婉晚挽	原完园元顽远腕怨袁湾猿源万愿豌援惋弯院圆玩辕丸缘员
尚	上	商裳汤赏伤晌
屈	曲圈蛆趋躯岖驱区	漆去取娶趣渠
居	激绩叽蛆稽沮车俱唧机锯几迹拘基饥箕奇驹积肌其畸鸡期讥	纪妓聚即给籍荠具棘吃脊炬举急借局记嫉既鲫级集寂巨及继济橘挤寄矩冀吉骑足际辑祭句季剂据菊击系计鞠剧距技忌拒圾惧己极疾
届	介界解借诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
冈	扛岗纲肛缸钢刚	港
岸	案按暗	鞍庵氨俺安
岳	悦越阅耀药粤跃说乐钥月	约
帘	怜连镰莲联廉	恋练脸敛炼链
帚	肘	昼舟周咒州粥皱洲轴宙
帖	贴铁
帕	怕	爬趴耙扒
幸	性辛兴姓杏	邢行型刑形醒腥星猩省
店	垫殿甸玷淀佃奠电惦	颠典点碘
府	斧父抚俯甫腐辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
底	抵	嘀蒂嫡帝芽缔笛的弟低递滴第涤敌地
延	炎颜阎沿研癌盐言严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
弦	嫌衔舷涎闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
弧	壶狐胡葫糊蝴湖	许呼沪互戏唬户乎护虎忽
往	网枉	旺忘妄王亡望汪
征	丁正筝怔症狰睁挣蒸争	政整郑证拯
彼	匕笔比鄙	逼庇壁毙碧璧臂毕闭鼻弊币必避蔽泌辟
忠	中盅衷终钟	种肿众重仲
忽	呼乎戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
念		年撵碾捻
忿	愤粪奋分份	粉芬吩焚纷氛坟
怔	丁正征筝症狰睁挣蒸争	政整郑证拯
怯	切壳契鹊确窃雀却	且茄瘸缺
怖	埠步簿部布不	捕补哺卜
怪		拐乖
怕	帕	爬趴耙扒
性	兴姓杏幸	邢行型刑形醒腥星猩省
或	获货祸霍惑	豁和伙活火
房	肪防坊妨	芳放访纺方仿
所	锁琐索	缩唆嗦梭
承	呈成惩程城诚乘盛橙澄	称秤撑逞
拉	喇啦	辣落蜡腊
拌	半扮伴绊办瓣	班板扳搬颁版般斑
拄	贮煮主属嘱	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
拂	芙辐蝠浮福幅服缚俘袱符扶伏夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
抹		默漠磨墨脉么莫沫陌魔摸茉末蘑膜摩寞摹模没
拒	聚巨剧距具俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
招	昭嘲朝着召	赵罩找爪兆沼照
披	匹霹批坏被劈	屁否脾罢啤疲譬皮僻辟
拓	唾	拖椭托脱驮驼鸵妥
拔	跋	八巴伯罢笆芭疤吧叭爸靶霸扒捌把耙坝
抛		跑刨炮袍咆泡
抽		臭稠绸畴筹丑愁仇酬
押	牙压蚜鸭鸦呀涯衙芽	轧雅讶亚哑
拐		怪乖
拙	卓浊茁灼着啄琢酌	桌捉
拇	亩姥姆母牡	幕募木慕暮沐目牧墓穆模睦
拍		排牌派徘湃
抵	底	嘀蒂嫡帝芽缔笛的弟低递滴第涤敌地
抱	爆暴刨豹报	褒堡饱包薄雹苞保宝胞
拘	蛆沮居车俱驹锯	鞠聚巨剧距橘具拒惧炬举矩局句据菊足
拖	托脱	椭唾拓驮驼鸵妥
拗	澳耀奥药懊乐钥要傲	袄肴咬姚夭舀扭窑侥摇么哟淆腰遥钮纽牛凹谣吆邀熬妖
拆	差	柴豺
抬	台苔	胎泰太汰态
放		芳房妨访坊纺肪防方仿
斧	腐父抚俯甫府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
于	逾予愉榆鱼巫诬乌屋愚恶渔娱舆隅呜污	屿无愈务伍雾浴午淤吴狱舞勿与豫梧五羽武语谷遇喻域裕雨芜玉育尉誉悟亡寓欲御迂蜈郁晤误物坞预捂侮鹉吁芋宇
旺	王望忘妄	往网枉亡汪
昔	习袭息媳惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
易	腋邑逸艺肄掖亦意抑义溢疫异役忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
昌	倡猖	场唱长偿厂畅常尝肠裳敞
昆	坤	捆困
昂		肮
明	鸣铭螟名	命
昏	婚荤	浑魂混
服	芙辐蝠浮福幅缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
朋	棚膨硼鹏篷蓬澎彭	捧碰烹砰
杭	行航吭
枕	阵诊振震疹镇	侦珍斟榛针贞真
东	冬	冻栋董动懂洞
果	裹	锅国郭过
枝	肢旗畦支吱脐脂歧汁只氏芝鳍知棋织奇齐蜘其之崎祈骑期	址泣植迄戚漆治致稽制直窒掷妻七气征帜砌执契稚凄企志智挚启值栖止纸趾职至秩欺置起柒器乞弃滞殖指汽识旨溪质岂
林	临淋鳞琳邻磷	凛赁吝躏
杯	悲背碑卑	臂贝被辈焙狈惫北备倍
杰	节竭截捷劫结洁	接揭皆阶届街界介姊借解诫戒姐芥
板	版	拌扮半伴班扳搬颁绊办瓣般斑
枉	往网	旺忘妄王亡望汪
松		宋诵颂送讼耸
析	悉膝熙厘畦栖吸携晰行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
枚	媒煤霉梅楣玫眉没	美每昧媚妹
欣	薪新辛心锌芯	衅信寻
武	舞伍捂侮午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
歧	只鳍枝旗棋畦奇其齐崎脐祈骑期	泣迄戚稽漆妻七气砌契凄企启栖欺柒起器乞弃汽溪岂
氓	芒盲茫忙	莽
氛	纷吩分芬	粉愤粪奋份忿焚坟
泣	器迄气弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
注	助住柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
泳	蛹踊拥咏勇永	庸用佣
泌	庇毙臂毕弊币必避辟密壁碧璧蜜闭觅秘比蔽鄙	咪逼靡弥彼鼻匕米迷谜笔糜
泥	尼呢逆溺匿腻	你拟
河	合核盖和荷何禾盒褐	鹤喝吓呵贺赫
沽	估辜家咕姑孤	固股凸贾古雇鼓顾告滑故骨谷
沾	毡瞻占	栈暂盏战站蘸崭绽颤斩展
沼	找爪	昭赵罩招嘲召朝兆着照
波	泼坡	泊剖朴魄颇破婆迫
沫	默漠磨墨脉末莫膜陌寞茉没	么蘑摩魔抹摸摹模
法	阀乏伐发罚筏
沸	废吠费肺	啡肥菲非诽飞匪
油	尤由犹游邮	佑忧幽悠友又诱有幼优右
况	框旷眶矿	筐狂
沮	拘蛆居车俱驹矩举锯	鞠聚巨剧距橘具拒惧炬句局据菊足
沿	谚咽炎淹焰艳颜延雁验堰癌厌砚唁严阎宴研燕盐言	演奄殷衍烟眼掩
治	智挚知致滞帜质识稚至制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
泡	炮	跑袍咆刨抛
泛	饭犯贩范	樊返矾繁烦帆番凡翻反
泊	渤搏勃伯卜薄破脖膊舶白柏朴博魄驳荸迫	剖剥跛簸颇播拨波般婆坡玻菠泼
